Title,Link,Journal Title,Publication Year,Authors,DOI,Keywords,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Journal Title,Publication Year,Authors,DOI,Keywords,FieldsOfStudy,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Full Text Link
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Skeletal Muscle,2014.0,"Catherine Moorwood, Anastassios Philippou, Janelle Spinazzola, Benjamin Keyser, Edward J Macarak, Elisabeth R Barton",10.1186/2044-5040-4-13,,,15.0,17.0,16.0,0.0,3.85,33.0,8.0,"Mechanotransduction, Myogenesis, Cell biology, Sarcolemma, Phosphorylation","Overall, it is asserted that altered load-sensing mechanisms exist in muscular dystrophies where the sarcoglycans are absent, and p70S6K is an important component of γ-sarcoglycan-dependent mechanotransduction in skeletal muscle.",Skeletal Muscle,2014.0,"Catherine Moorwood, Anastassios Philippou, Janelle Spinazzola, Benjamin Keyser, Edward J Macarak, Elisabeth R Barton",10.1186/2044-5040-4-13,,"['Medicine', 'Biology']",,15.0,17.0,16.0,0.0,3.85,33,8.0,"Mechanotransduction, Myogenesis, Cell biology, Sarcolemma, Phosphorylation","Overall, it is asserted that altered load-sensing mechanisms exist in muscular dystrophies where the sarcoglycans are absent, and p70S6K is an important component of γ-sarcoglycan-dependent mechanotransduction in skeletal muscle.",https://skeletalmusclejournal.biomedcentral.com/counter/pdf/10.1186/2044-5040-4-13
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,BMC Plant Biology,2011.0,"Jianling Peng, Hilal Ilarslan, Eve Syrkin Wurtele, Diane C Bassham",10.1186/1471-2229-11-25,,,37.0,48.0,28.0,1.0,,,,"Biology, Pollen tube, Silique, Pollen, Rab",These findings support a partially redundant role for AtRrabD2b and AtRabD2c in vesicle trafficking during pollen tube growth that cannot be fulfilled by the remaining AtRABD family members.,BMC Plant Biology,2011.0,"Jianling Peng, Hilal Ilarslan, Eve Syrkin Wurtele, Diane C Bassham",10.1186/1471-2229-11-25,,"['Biology', 'Medicine']",,37.0,48.0,28.0,1.0,,,,"Biology, Pollen tube, Silique, Pollen, Rab",These findings support a partially redundant role for AtRrabD2b and AtRabD2c in vesicle trafficking during pollen tube growth that cannot be fulfilled by the remaining AtRABD family members.,https://bmcplantbiol.biomedcentral.com/counter/pdf/10.1186/1471-2229-11-25
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,Plant Physiology,2011.0,"Sang-Jin Kim, Diane C. Bassham",10.1104/pp.110.168963,,,45.0,56.0,54.0,3.0,,,,"Arabidopsis, Cell biology, Vacuole, Brefeldin A, Mutant","Data demonstrate that TNO1 is involved in vacuolar trafficking and salt tolerance, potentially via roles in vesicle fusion and in maintaining TGN structure or identity.",Plant Physiology,2011.0,"Sang-Jin Kim, Diane C. Bassham",10.1104/pp.110.168963,,"['Biology', 'Medicine']",,45.0,56.0,54.0,3.0,,,,"Arabidopsis, Cell biology, Vacuole, Brefeldin A, Mutant","Data demonstrate that TNO1 is involved in vacuolar trafficking and salt tolerance, potentially via roles in vesicle fusion and in maintaining TGN structure or identity.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,Plant Biotechnology,2024.0,"Natalia Rzepecka, Yoko Ito, Kei Yura, Emi Ito, Tomohiro Uemura",10.5511/plantbiotechnology.23.1214a,,,0.0,0.0,0.0,0.0,,,,"Biology, Arabidopsis thaliana, Golgi apparatus, Identification (biology), Glycosyltransferase","Investigation of subcellular localization of an uncharacterized Arabidopsis thaliana protein reported to interact with a trans-Golgi network-localized Qa-SNARE suggests that AtGTLP should localize mainly to Golgi apparatus, especially to certain zones of trans-Golgi.",Plant Biotechnology,2024.0,"Natalia Rzepecka, Yoko Ito, Kei Yura, Emi Ito, Tomohiro Uemura",10.5511/plantbiotechnology.23.1214a,,['Medicine'],,0.0,0.0,0.0,0.0,,,,"Biology, Arabidopsis thaliana, Golgi apparatus, Identification (biology), Glycosyltransferase","Investigation of subcellular localization of an uncharacterized Arabidopsis thaliana protein reported to interact with a trans-Golgi network-localized Qa-SNARE suggests that AtGTLP should localize mainly to Golgi apparatus, especially to certain zones of trans-Golgi.",https://www.jstage.jst.go.jp/article/plantbiotechnology/advpub/0/advpub_23.1214a/_pdf
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,BMC Plant Biology,2017.0,"Rahul Roy, Diane C. Bassham",10.1186/s12870-017-1024-4,,,11.0,12.0,0.0,0.0,2.35,34.0,4.0,"Biology, Microtubule, Cell biology, Arabidopsis thaliana, Arabidopsis","It is concluded that TNO1 modulates root skewing in a mechanism that is dependent on microtubules but is not linked to disruption of the orientation of microtubule arrays, and the TGN-localized SNARE machinery might therefore be important for appropriate epidermal cell file rotation and cell expansion during root growth.",BMC Plant Biology,2017.0,"Rahul Roy, Diane C. Bassham",10.1186/s12870-017-1024-4,,,,11.0,12.0,0.0,0.0,2.35,34,4.0,"Biology, Microtubule, Cell biology, Arabidopsis thaliana, Arabidopsis","It is concluded that TNO1 modulates root skewing in a mechanism that is dependent on microtubules but is not linked to disruption of the orientation of microtubule arrays, and the TGN-localized SNARE machinery might therefore be important for appropriate epidermal cell file rotation and cell expansion during root growth.",https://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-017-1024-4
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Frontiers in Plant Science,2015.0,"Rahul Roy, Diane C. Bassham",10.3389/fpls.2015.00969,,,4.0,4.0,5.0,0.0,2.5,32.0,8.0,"Auxin, Cell biology, Gravitropism, Endocytic cycle, Biology","A role for TNO1 is demonstrated in mediating auxin responses during root development and gravistimulation, potentially through trafficking of auxin transport proteins.",Frontiers in Plant Science,2015.0,"Rahul Roy, Diane C. Bassham",10.3389/fpls.2015.00969,,"['Biology', 'Medicine']",,4.0,4.0,5.0,0.0,2.5,32,8.0,"Auxin, Cell biology, Gravitropism, Endocytic cycle, Biology","A role for TNO1 is demonstrated in mediating auxin responses during root development and gravistimulation, potentially through trafficking of auxin transport proteins.",https://www.frontiersin.org/articles/10.3389/fpls.2015.00969/pdf
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,BMC Plant Biology,2017.0,"Rahul Roy, Diane C. Bassham",10.1186/s12870-017-1024-4,,,11.0,12.0,0.0,0.0,2.35,34.0,4.0,"Biology, Microtubule, Cell biology, Arabidopsis thaliana, Arabidopsis","It is concluded that TNO1 modulates root skewing in a mechanism that is dependent on microtubules but is not linked to disruption of the orientation of microtubule arrays, and the TGN-localized SNARE machinery might therefore be important for appropriate epidermal cell file rotation and cell expansion during root growth.",BMC Plant Biology,2017.0,"Rahul Roy, Diane C. Bassham",10.1186/s12870-017-1024-4,,,,11.0,12.0,0.0,0.0,2.35,34,4.0,"Biology, Microtubule, Cell biology, Arabidopsis thaliana, Arabidopsis","It is concluded that TNO1 modulates root skewing in a mechanism that is dependent on microtubules but is not linked to disruption of the orientation of microtubule arrays, and the TGN-localized SNARE machinery might therefore be important for appropriate epidermal cell file rotation and cell expansion during root growth.",https://bmcplantbiol.biomedcentral.com/track/pdf/10.1186/s12870-017-1024-4
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,Journal of Cell Science,2010.0,"Martin P. Kracklauer, Heather M. Wiora, William J. Deery, Xin Chen, Benjamin Bolival, Dwight Romanowicz, Rebecca A. Simonette, Margaret T. Fuller, Janice A. Fischer, Kathleen M. Beckingham",10.1242/jcs.066589,,,56.0,65.0,59.0,9.0,,,,"Spermatid, Biology, Centriole, Basal body, Cell biology","This role of Spag4 in centriolar attachment does not involve either of the two KASH proteins of the Drosophila genome (Klarsicht and MSP-300), but does require the coiled-coil protein Yuri Gagarin.",Journal of Cell Science,2010.0,"Martin P. Kracklauer, Heather M. Wiora, William J. Deery, Xin Chen, Benjamin Bolival, Dwight Romanowicz, Rebecca A. Simonette, Margaret T. Fuller, Janice A. Fischer, Kathleen M. Beckingham",10.1242/jcs.066589,,"['Medicine', 'Biology']",,56.0,65.0,59.0,9.0,,,,"Spermatid, Biology, Centriole, Basal body, Cell biology","This role of Spag4 in centriolar attachment does not involve either of the two KASH proteins of the Drosophila genome (Klarsicht and MSP-300), but does require the coiled-coil protein Yuri Gagarin.",https://doi.org/10.1242/jcs.066589
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,PLoS ONE,2014.0,"Katherine Taylor, Kurt Kleinhesselink, Michael D. George, Rachel Morgan, Tangi Smallwood, Ann S. Hammonds, Patrick M. Fuller, Perot Saelao, Jeff Alley, Allen G. Gibbs, Deborah K. Hoshizaki, Laurence von Kalm, Charles A. Fuller, Kathleen M. Beckingham, Deborah A. Kimbrell",10.1371/journal.pone.0086485,,,31.0,35.0,34.0,0.0,200.75000000000003,99.0,99.0,"Hypergravity, Spaceflight, Immune system, Biology, Innate immune system","It is found that hypergravity improves resistance to Toll- mediated fungal infections except in a known gravitaxis mutant of the yuri gagarin gene, and that spaceflight produces stress-related transcriptional responses and results in a specific inability to mount a Toll-mediated infection response.",PLoS ONE,2014.0,"Katherine Taylor, Kurt Kleinhesselink, Michael D. George, Rachel Morgan, Tangi Smallwood, Ann S. Hammonds, Patrick M. Fuller, Perot Saelao, Jeff Alley, Allen G. Gibbs, Deborah K. Hoshizaki, Laurence von Kalm, Charles A. Fuller, Kathleen M. Beckingham, Deborah A. Kimbrell",10.1371/journal.pone.0086485,,"['Biology', 'Medicine']",,31.0,35.0,34.0,0.0,200.75000000000003,99,99.0,"Hypergravity, Spaceflight, Immune system, Biology, Innate immune system","It is found that hypergravity improves resistance to Toll- mediated fungal infections except in a known gravitaxis mutant of the yuri gagarin gene, and that spaceflight produces stress-related transcriptional responses and results in a specific inability to mount a Toll-mediated infection response.",https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0086485&type=printable
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,Scientific Reports,2020.0,"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A. da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M. Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M. Galazka, Sylvain V. Costes",10.1038/s41598-020-58490-w,,,0.0,0.0,0.0,0.0,,,,"Theme (computing), Computational biology, Omics, Space (punctuation), Computer science",An amendment to this paper has been published and can be accessed via a link at the top of the paper.,Scientific Reports,2020.0,"Afshin Beheshti, Kaushik Chakravarty, Homer Fogle, Hossein Fazelinia, Willian A. da Silveira, Valery Boyko, San-Huei Lai Polo, Amanda M. Saravia-Butler, Gary Hardiman, Deanne Taylor, Jonathan M. Galazka, Sylvain V. Costes",10.1038/s41598-020-58490-w,,"['Computer Science', 'Medicine']",,0.0,0.0,0.0,0.0,,,,"Theme (computing), Computational biology, Omics, Space (punctuation), Computer science",An amendment to this paper has been published and can be accessed via a link at the top of the paper.,https://www.nature.com/articles/s41598-020-58490-w.pdf
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,International Journal of Molecular Sciences,2019.0,"Afshin Beheshti, J. Tyson McDonald, Jack Miller, Peter Grabham, Sylvain V. Costes",10.3390/ijms20030661,,,30.0,34.0,31.0,1.0,1.5,64.0,2.0,"FYN, Reactive oxygen species, Term (time), Oxygen, Database","The analysis suggests FYN is the central driver/hub for the cardiovascular response to space radiation: the known oxidative stress induced immediately following radiation would only be transient and would upregulate FYN, which in turn would reduce reactive oxygen species (ROS) levels, protecting the cardiovascular system.",International Journal of Molecular Sciences,2019.0,"Afshin Beheshti, J. Tyson McDonald, Jack Miller, Peter Grabham, Sylvain V. Costes",10.3390/ijms20030661,,"['Biology', 'Medicine']",,30.0,34.0,31.0,1.0,1.5,64,2.0,"FYN, Reactive oxygen species, Term (time), Oxygen, Database","The analysis suggests FYN is the central driver/hub for the cardiovascular response to space radiation: the known oxidative stress induced immediately following radiation would only be transient and would upregulate FYN, which in turn would reduce reactive oxygen species (ROS) levels, protecting the cardiovascular system.",https://www.mdpi.com/1422-0067/20/3/661/pdf?version=1549174638
